Chromosome	Start	End	MedianRatio	CopyNumber	Sample	BinCount
10	81494988	81503972	2.53514	5	IMR5-R150	8
10	81503972	81505095	-1	2	IMR5-R150	1
10	81505095	96154630	0.986183	2	IMR5-R150	13045
10	96154630	108507630	0.735927	1	IMR5-R150	11000
10	108507630	108926509	0.938941	2	IMR5-R150	373
10	108926509	130914849	0.729832	1	IMR5-R150	19580
10	130914849	135524764	0.6965	1	IMR5-R150	4105
10	135524764	135534871	-1	1	IMR5-R150	9
11	1	59520	-1	2	IMR5-R150	53
11	59520	289735	0.878146	2	IMR5-R150	205
11	289735	1520543	0.958201	2	IMR5-R150	1096
11	1520543	4274139	1.03224	2	IMR5-R150	2452
11	4274139	10354061	0.988944	2	IMR5-R150	5414
11	10354061	13404129	1.01522	2	IMR5-R150	2716
11	13404129	17477250	0.987717	2	IMR5-R150	3627
11	17477250	20700260	1.01861	2	IMR5-R150	2870
11	20700260	25447181	0.949092	2	IMR5-R150	4227
11	25447181	25449427	4.10787	8	IMR5-R150	2
11	25449427	25451673	1.76387	4	IMR5-R150	2
11	25451673	33824761	0.973084	2	IMR5-R150	7456
11	33824761	37583442	1.00116	2	IMR5-R150	3347
11	37583442	42407850	0.966467	2	IMR5-R150	4296
11	42407850	48365365	1.00553	2	IMR5-R150	5305
11	48365365	50266604	0.971625	2	IMR5-R150	1693
11	50266604	55039354	0.919908	2	IMR5-R150	4250
11	55039354	60345529	0.991988	2	IMR5-R150	4725
11	60345529	62803776	1.03447	2	IMR5-R150	2189
11	62803776	63375383	0.980539	2	IMR5-R150	509
11	63375383	63418057	0.75941	2	IMR5-R150	38
11	63418057	63496667	1.02155	2	IMR5-R150	70
11	63496667	63632550	0.751153	2	IMR5-R150	121
11	63632550	64809454	1.01934	2	IMR5-R150	1048
11	64809454	65425981	1.0585	2	IMR5-R150	549
11	65425981	80071024	1.00601	2	IMR5-R150	13041
11	80071024	81913867	0.944597	2	IMR5-R150	1641
11	81913867	87354802	0.988796	2	IMR5-R150	4845
11	87354802	89564866	0.95513	2	IMR5-R150	1968
11	89564866	89568235	1.94495	4	IMR5-R150	3
11	89568235	92903545	0.961493	2	IMR5-R150	2970
11	92903545	97286614	0.995756	2	IMR5-R150	3903
11	97286614	99470849	0.918529	2	IMR5-R150	1945
11	99470849	104491782	0.95425	2	IMR5-R150	4471
11	104491782	108198805	0.916585	2	IMR5-R150	3301
11	108198805	112864870	0.938941	2	IMR5-R150	4155
11	112864870	119835331	0.976498	2	IMR5-R150	6207
11	119835331	121349135	1.04474	2	IMR5-R150	1348
11	121349135	122596788	1.00154	2	IMR5-R150	1111
11	122596788	124465460	0.919826	2	IMR5-R150	1664
11	124465460	127358308	0.974686	2	IMR5-R150	2576
11	127358308	128464463	0.938941	2	IMR5-R150	985
11	128464463	131271963	0.997625	2	IMR5-R150	2500
11	131271963	134247913	0.951135	2	IMR5-R150	2650
11	134247913	134746525	0.88424	2	IMR5-R150	444
11	134746525	134946419	0.746333	1	IMR5-R150	178
11	134946419	135007061	-1	1	IMR5-R150	54
12	1	59520	-1	2	IMR5-R150	53
12	59520	1194873	0.851959	2	IMR5-R150	1011
12	1194873	1199365	1.49187	3	IMR5-R150	4
12	1199365	2188728	0.875034	2	IMR5-R150	881
12	2188728	3236487	0.817486	2	IMR5-R150	933
12	3236487	5704841	0.902171	2	IMR5-R150	2198
12	5704841	7355651	0.949733	2	IMR5-R150	1470
12	7355651	8594320	0.890333	2	IMR5-R150	1103
12	8594320	8595443	3.91225	8	IMR5-R150	1
12	8595443	8596566	-1	2	IMR5-R150	1
12	8596566	14512530	0.896741	2	IMR5-R150	5268
12	14512530	19075279	0.867974	2	IMR5-R150	4063
12	19075279	21241546	0.911646	2	IMR5-R150	1929
12	21241546	24570118	0.863307	2	IMR5-R150	2964
12	24570118	31585499	0.901267	2	IMR5-R150	6247
12	31585499	46659528	0.985613	2	IMR5-R150	13423
12	46659528	55042723	1.02008	2	IMR5-R150	7465
12	55042723	55870374	0.959227	2	IMR5-R150	737
12	55870374	58723917	1.03426	2	IMR5-R150	2541
12	58723917	58729532	1.71692	3	IMR5-R150	5
12	58729532	68098721	0.977154	2	IMR5-R150	8343
12	68098721	72768155	1.00643	2	IMR5-R150	4158
12	72768155	77127641	0.969035	2	IMR5-R150	3882
12	77127641	84749442	0.928391	2	IMR5-R150	6787
12	84749442	89311068	0.972761	2	IMR5-R150	4062
12	89311068	90485726	1.05091	2	IMR5-R150	1046
12	90485726	90487972	2.28777	5	IMR5-R150	2
12	90487972	108625545	0.986183	2	IMR5-R150	16151
12	108625545	115667878	1.02811	2	IMR5-R150	6271
12	115667878	116410181	1.09657	2	IMR5-R150	661
12	116410181	130153455	1.00849	2	IMR5-R150	12238
12	130153455	132129935	1.03799	2	IMR5-R150	1760
12	132129935	132132181	2.01659	4	IMR5-R150	2
12	132132181	132136673	-1	2	IMR5-R150	4
12	132136673	133658338	0.973146	2	IMR5-R150	1355
12	133658338	133842510	0.815925	2	IMR5-R150	164
12	133842510	133852617	-1	2	IMR5-R150	9
13	1	19019129	-1	2	IMR5-R150	16936
13	19019129	19205547	0.938941	2	IMR5-R150	166
13	19205547	29834742	0.999341	2	IMR5-R150	9465
13	29834742	32638873	1.03469	2	IMR5-R150	2497
13	32638873	33359839	0.969311	2	IMR5-R150	642
13	33359839	33838237	1.0193	2	IMR5-R150	426
13	33838237	36242580	0.965961	2	IMR5-R150	2141
13	36242580	39044465	1.00473	2	IMR5-R150	2495
13	39044465	41378059	1.0355	2	IMR5-R150	2078
13	41378059	43502775	0.994173	2	IMR5-R150	1892
13	43502775	44443849	0.965169	2	IMR5-R150	838
13	44443849	53049398	0.996545	2	IMR5-R150	7663
13	53049398	53993841	1.04869	2	IMR5-R150	841
13	53993841	54993311	0.997026	2	IMR5-R150	890
13	54993311	68403054	0.957973	2	IMR5-R150	11941
13	68403054	72634518	0.933753	2	IMR5-R150	3768
13	72634518	75383622	0.988359	2	IMR5-R150	2448
13	75383622	75384745	2.57782	5	IMR5-R150	1
13	75384745	77645344	0.993636	2	IMR5-R150	2013
13	77645344	79936264	0.957901	2	IMR5-R150	2040
13	79936264	80521347	1.05358	2	IMR5-R150	521
13	80521347	81618518	1.09166	2	IMR5-R150	977
13	81618518	83557939	0.979181	2	IMR5-R150	1727
13	83557939	93014722	0.950186	2	IMR5-R150	8421
13	93014722	94976603	0.984867	2	IMR5-R150	1747
13	94976603	96944099	1.00764	2	IMR5-R150	1752
13	96944099	96965436	0.46947	1	IMR5-R150	19
13	96965436	98191752	0.974105	2	IMR5-R150	1092
13	98191752	100683689	1.01331	2	IMR5-R150	2219
13	100683689	100762299	1.1247	2	IMR5-R150	70
13	100762299	103548462	0.993215	2	IMR5-R150	2481
13	103548462	104370498	1.03761	2	IMR5-R150	732
13	104370498	105327294	0.996752	2	IMR5-R150	852
13	105327294	106394144	0.950941	2	IMR5-R150	950
13	106394144	109868706	0.987869	2	IMR5-R150	3094
13	109868706	109870952	2.1887	4	IMR5-R150	2
13	109870952	110076461	1.04327	2	IMR5-R150	183
13	110076461	110077584	8.10485	16	IMR5-R150	1
13	110077584	110941171	1.03223	2	IMR5-R150	769
13	110941171	110945663	1.49004	3	IMR5-R150	4
13	110945663	112536954	1.01341	2	IMR5-R150	1417
13	112536954	113913752	0.981062	2	IMR5-R150	1226
13	113913752	114968249	0.949468	2	IMR5-R150	939
13	114968249	115109747	0.819403	2	IMR5-R150	126
13	115109747	115170389	-1	2	IMR5-R150	54
14	1	18998915	-1	2	IMR5-R150	16918
14	18998915	19358275	0.94271	2	IMR5-R150	320
14	19358275	19745710	1.01719	2	IMR5-R150	345
14	19745710	19758063	1.29104	3	IMR5-R150	11
14	19758063	21143845	0.997625	2	IMR5-R150	1234
14	21143845	22074812	1.04607	2	IMR5-R150	829
14	22074812	26008681	1.0036	2	IMR5-R150	3503
14	26008681	33913478	0.974373	2	IMR5-R150	7039
14	33913478	35148778	1.00758	2	IMR5-R150	1100
14	35148778	40098962	0.980605	2	IMR5-R150	4408
14	40098962	40100085	3.65144	7	IMR5-R150	1
14	40100085	41739665	0.972077	2	IMR5-R150	1460
14	41739665	43341063	1.02456	2	IMR5-R150	1426
14	43341063	47090760	0.97625	2	IMR5-R150	3339
14	47090760	49483873	0.945328	2	IMR5-R150	2131
14	49483873	53069612	1.01117	2	IMR5-R150	3193
14	53069612	60138897	0.982758	2	IMR5-R150	6295
14	60138897	60140020	2.27732	5	IMR5-R150	1
14	60140020	61571845	0.969229	2	IMR5-R150	1275
14	61571845	62135591	1.03015	2	IMR5-R150	502
14	62135591	67856153	0.977794	2	IMR5-R150	5094
14	67856153	71319485	1.0217	2	IMR5-R150	3084
14	71319485	78010319	1.00429	2	IMR5-R150	5958
14	78010319	79511770	1.03406	2	IMR5-R150	1337
14	79511770	82322639	0.988649	2	IMR5-R150	2503
14	82322639	87681595	0.951892	2	IMR5-R150	4772
14	87681595	90176901	1.00257	2	IMR5-R150	2222
14	90176901	97836884	1.13206	2	IMR5-R150	6821
14	97836884	102218830	1.10464	2	IMR5-R150	3902
14	102218830	105195903	1.131	2	IMR5-R150	2651
14	105195903	107290298	1.07333	2	IMR5-R150	1865
14	107290298	107349817	-1	2	IMR5-R150	53
15	1	19999508	-1	2	IMR5-R150	17809
15	19999508	22508290	0.994173	2	IMR5-R150	2234
15	22508290	25304560	0.962414	2	IMR5-R150	2490
15	25304560	28822919	0.992595	2	IMR5-R150	3133
15	28822919	28824042	2.50384	5	IMR5-R150	1
15	28824042	30857795	0.968283	2	IMR5-R150	1811
15	30857795	30860041	2.26911	5	IMR5-R150	2
15	30860041	40333669	0.968907	2	IMR5-R150	8436
15	40333669	44936846	0.996934	2	IMR5-R150	4099
15	44936846	46126103	1.02179	2	IMR5-R150	1059
15	46126103	57547013	0.977174	2	IMR5-R150	10170
15	57547013	58821618	1.04192	2	IMR5-R150	1135
15	58821618	63356292	0.987507	2	IMR5-R150	4038
15	63356292	63483191	0.68358	1	IMR5-R150	113
15	63483191	68591718	1.00192	2	IMR5-R150	4549
15	68591718	75316242	1.0243	2	IMR5-R150	5988
15	75316242	82650555	1.00661	2	IMR5-R150	6531
15	82650555	82653924	1.81313	4	IMR5-R150	3
15	82653924	82733657	0.974597	2	IMR5-R150	71
15	82733657	82737026	1.87788	4	IMR5-R150	3
15	82737026	82930182	1.08116	2	IMR5-R150	172
15	82930182	95177620	1.00641	2	IMR5-R150	10906
15	95177620	97811055	0.957351	2	IMR5-R150	2345
15	97811055	97813301	2.15956	4	IMR5-R150	2
15	97813301	102048134	0.987402	2	IMR5-R150	3771
15	102048134	102401879	0.908156	2	IMR5-R150	315
15	102401879	102522040	0.741002	1	IMR5-R150	107
15	102522040	102532147	-1	1	IMR5-R150	9
16	1	59520	-1	2	IMR5-R150	53
16	59520	284120	0.831342	2	IMR5-R150	200
16	284120	999471	0.955708	2	IMR5-R150	637
16	999471	1001717	1.70574	3	IMR5-R150	2
16	1001717	2046107	0.996427	2	IMR5-R150	930
16	2046107	2281937	1.10456	2	IMR5-R150	210
16	2281937	4954677	1.01625	2	IMR5-R150	2380
16	4954677	5270240	0.93318	2	IMR5-R150	281
16	5270240	6433668	1.00075	2	IMR5-R150	1036
16	6433668	7862124	0.922705	2	IMR5-R150	1272
16	7862124	18231906	0.998035	2	IMR5-R150	9234
16	18231906	18235275	1.71459	3	IMR5-R150	3
16	18235275	18778807	1.0243	2	IMR5-R150	484
16	18778807	26765583	0.990755	2	IMR5-R150	7112
16	26765583	31512504	1.01798	2	IMR5-R150	4227
16	31512504	33864066	0.982659	2	IMR5-R150	2094
16	33864066	33902248	1.11102	2	IMR5-R150	34
16	33902248	46411345	0.963341	2	IMR5-R150	11139
16	46411345	46814502	1.04327	2	IMR5-R150	359
16	46814502	51016768	0.990752	2	IMR5-R150	3742
16	51016768	51202063	0.736377	1	IMR5-R150	165
16	51202063	55032616	0.969121	2	IMR5-R150	3411
16	55032616	58954132	1.03745	2	IMR5-R150	3492
16	58954132	64891433	0.966557	2	IMR5-R150	5287
16	64891433	66962245	1.04393	2	IMR5-R150	1844
16	66962245	70878146	1.00522	2	IMR5-R150	3487
16	70878146	71218415	1.11282	2	IMR5-R150	303
16	71218415	75994534	0.979764	2	IMR5-R150	4253
16	75994534	77150101	0.917356	2	IMR5-R150	1029
16	77150101	80223752	0.952749	2	IMR5-R150	2737
16	80223752	88549674	0.99039	2	IMR5-R150	7414
16	88549674	90171286	0.953884	2	IMR5-R150	1444
16	90171286	90294816	0.733926	1	IMR5-R150	110
16	90294816	90355458	-1	1	IMR5-R150	54
17	1	1048883	0.960682	2	IMR5-R150	934
17	1048883	12488884	1.02179	2	IMR5-R150	10187
17	12488884	15805103	1.06249	2	IMR5-R150	2953
17	15805103	22019785	1.02535	2	IMR5-R150	5534
17	22019785	22020908	3.46802	7	IMR5-R150	1
17	22020908	22261230	0.995359	2	IMR5-R150	214
17	22261230	22262353	4.04814	8	IMR5-R150	1
17	22262353	25268624	-1	2	IMR5-R150	2677
17	25268624	34521021	1.02142	2	IMR5-R150	8239
17	34521021	34669257	1.22787	2	IMR5-R150	132
17	34669257	35969691	1.00545	2	IMR5-R150	1158
17	35969691	36261671	1.45436	3	IMR5-R150	260
17	36261671	36262794	3.83088	8	IMR5-R150	1
17	36262794	40286503	1.01991	2	IMR5-R150	3583
17	40286503	40411156	1.58749	3	IMR5-R150	111
17	40411156	44468555	1.27675	3	IMR5-R150	3613
17	44468555	44469678	3.42043	7	IMR5-R150	1
17	44469678	49961148	1.27656	3	IMR5-R150	4890
17	49961148	53497475	1.2237	2	IMR5-R150	3149
17	53497475	56453211	1.27643	3	IMR5-R150	2632
17	56453211	61483128	1.24035	2	IMR5-R150	4479
17	61483128	72388581	1.2774	3	IMR5-R150	9711
17	72388581	78249518	1.23085	2	IMR5-R150	5219
17	78249518	80920012	1.18344	2	IMR5-R150	2378
17	80920012	81195147	1.06628	2	IMR5-R150	245
17	81195147	81196270	-1	2	IMR5-R150	1
18	1	8985	-1	2	IMR5-R150	8
18	8985	107809	0.753085	2	IMR5-R150	88
18	107809	294227	0.880888	2	IMR5-R150	166
18	294227	1788940	0.951544	2	IMR5-R150	1331
18	1788940	4178684	1.00451	2	IMR5-R150	2128
18	4178684	6029388	0.975505	2	IMR5-R150	1648
18	6029388	9099670	1.01719	2	IMR5-R150	2734
18	9099670	15410930	0.992197	2	IMR5-R150	5620
18	15410930	18510410	-1	2	IMR5-R150	2760
18	18510410	24617284	1.00522	2	IMR5-R150	5438
18	24617284	32434487	0.968283	2	IMR5-R150	6961
18	32434487	34862413	1.00601	2	IMR5-R150	2162
18	34862413	35155516	1.06113	2	IMR5-R150	261
18	35155516	42123731	0.971543	2	IMR5-R150	6205
18	42123731	42124854	2.1387	4	IMR5-R150	1
18	42124854	43036730	0.977983	2	IMR5-R150	812
18	43036730	49198631	1.01321	2	IMR5-R150	5487
18	49198631	49798313	0.980932	2	IMR5-R150	534
18	49798313	49799436	2.62714	5	IMR5-R150	1
18	49799436	50953880	0.971268	2	IMR5-R150	1028
18	50953880	50955003	2.64915	5	IMR5-R150	1
18	50955003	52750680	0.969888	2	IMR5-R150	1599
18	52750680	58701457	1.00641	2	IMR5-R150	5299
18	58701457	59772799	1.04571	2	IMR5-R150	954
18	59772799	62214201	0.997901	2	IMR5-R150	2174
18	62214201	67413691	0.951215	2	IMR5-R150	4630
18	67413691	68416530	0.989336	2	IMR5-R150	893
18	68416530	71162265	0.945285	2	IMR5-R150	2445
18	71162265	72283019	0.989392	2	IMR5-R150	998
18	72283019	72284142	3.40366	7	IMR5-R150	1
18	72284142	72332431	-1	2	IMR5-R150	43
18	72332431	73788962	0.967053	2	IMR5-R150	1297
18	73788962	75126455	1.02783	2	IMR5-R150	1191
18	75126455	76739083	0.984626	2	IMR5-R150	1436
18	76739083	76740206	2.24529	4	IMR5-R150	1
18	76740206	77874436	0.941542	2	IMR5-R150	1010
18	77874436	78017057	0.821037	2	IMR5-R150	127
18	78017057	78077699	-1	2	IMR5-R150	54
19	1	59520	-1	2	IMR5-R150	53
19	59520	287489	0.804365	2	IMR5-R150	203
19	287489	1409366	0.965896	2	IMR5-R150	999
19	1409366	7303993	1.01015	2	IMR5-R150	5249
19	7303993	7344421	0.688064	1	IMR5-R150	36
19	7344421	12695516	1.00341	2	IMR5-R150	4765
19	12695516	12698885	0	0	IMR5-R150	3
19	12698885	18359928	1.02096	2	IMR5-R150	5041
19	18359928	19884962	0.933717	2	IMR5-R150	1358
19	19884962	21408873	0.963722	2	IMR5-R150	1357
19	21408873	22238770	1.03283	2	IMR5-R150	739
19	22238770	28139012	0.975907	2	IMR5-R150	5254
19	28139012	36800711	1.01518	2	IMR5-R150	7713
19	36800711	38687351	0.979311	2	IMR5-R150	1680
19	38687351	40389819	1.03145	2	IMR5-R150	1516
19	40389819	40390942	2.4256	5	IMR5-R150	1
19	40390942	45170430	1.02339	2	IMR5-R150	4256
19	45170430	45171553	2.99287	6	IMR5-R150	1
19	45171553	48945956	1.03315	2	IMR5-R150	3361
19	48945956	48947079	2.55937	5	IMR5-R150	1
19	48947079	50994308	1.03687	2	IMR5-R150	1823
19	50994308	51705167	1.11499	2	IMR5-R150	633
19	51705167	52356507	1.0454	2	IMR5-R150	580
19	52356507	54324003	0.985227	2	IMR5-R150	1752
19	54324003	55325719	1.04392	2	IMR5-R150	892
19	55325719	55326842	3.59927	7	IMR5-R150	1
19	55326842	55336949	1.03283	2	IMR5-R150	9
19	55336949	55345933	-1	2	IMR5-R150	8
19	55345933	55350425	0.187788	0	IMR5-R150	4
19	55350425	55356040	-1	2	IMR5-R150	5
19	55356040	55370639	1.23769	2	IMR5-R150	13
19	55370639	55371762	3.75576	8	IMR5-R150	1
19	55371762	55372885	-1	2	IMR5-R150	1
19	55372885	55837807	0.99686	2	IMR5-R150	414
19	55837807	56202782	1.04641	2	IMR5-R150	325
19	56202782	57613270	0.915786	2	IMR5-R150	1256
19	57613270	58955255	0.949611	2	IMR5-R150	1195
19	58955255	59118090	0.826087	2	IMR5-R150	145
19	59118090	59129320	-1	2	IMR5-R150	10
2	1	10108	-1	1	IMR5-R150	9
2	10108	105563	0.74943	1	IMR5-R150	85
2	105563	1438564	0.910829	2	IMR5-R150	1187
2	1438564	5536391	0.97675	2	IMR5-R150	3649
2	5536391	13506322	1.0078	2	IMR5-R150	7097
2	13506322	14737130	0.938941	2	IMR5-R150	1096
2	14737130	16124035	1.02361	2	IMR5-R150	1235
2	16124035	16602433	0.206576	0	IMR5-R150	426
2	16602433	28535431	0.989136	2	IMR5-R150	10626
2	28535431	31794377	1.02277	2	IMR5-R150	2902
2	31794377	33140854	0.978063	2	IMR5-R150	1199
2	33140854	33141977	10.9583	22	IMR5-R150	1
2	33141977	33143100	-1	2	IMR5-R150	1
2	33143100	36804080	0.963825	2	IMR5-R150	3260
2	36804080	48524831	0.988944	2	IMR5-R150	10437
2	48524831	53071858	0.94535	2	IMR5-R150	4049
2	53071858	56869844	0.993163	2	IMR5-R150	3382
2	56869844	58940656	0.938941	2	IMR5-R150	1844
2	58940656	67864014	0.980924	2	IMR5-R150	7946
2	67864014	76112449	1.01328	2	IMR5-R150	7345
2	76112449	84500136	0.965168	2	IMR5-R150	7469
2	84500136	85280621	1.01383	2	IMR5-R150	695
2	85280621	85374953	0.760127	2	IMR5-R150	84
2	85374953	87622076	1.02522	2	IMR5-R150	2001
2	87622076	87659135	0.733236	1	IMR5-R150	33
2	87659135	90376795	1.00154	2	IMR5-R150	2420
2	90376795	90380164	2.09019	4	IMR5-R150	3
2	90380164	92307232	1.01018	2	IMR5-R150	1716
2	92307232	92311724	1.954	4	IMR5-R150	4
2	92311724	92319585	1.12896	2	IMR5-R150	7
2	92319585	92324077	1.93775	4	IMR5-R150	4
2	92324077	98140094	1.01157	2	IMR5-R150	5179
2	98140094	98154693	1.72139	3	IMR5-R150	13
2	98154693	98158062	-1	2	IMR5-R150	3
2	98158062	100046948	1.01788	2	IMR5-R150	1682
2	100046948	101310323	1.0964	2	IMR5-R150	1125
2	101310323	104978041	0.962982	2	IMR5-R150	3266
2	104978041	110657052	1.0021	2	IMR5-R150	5057
2	110657052	112599842	1.07308	2	IMR5-R150	1730
2	112599842	121080738	0.985289	2	IMR5-R150	7552
2	121080738	122768607	1.03015	2	IMR5-R150	1503
2	122768607	126648572	0.975707	2	IMR5-R150	3455
2	126648572	126654187	1.43077	3	IMR5-R150	5
2	126654187	140134679	0.994517	2	IMR5-R150	12004
2	140134679	143137581	0.931576	2	IMR5-R150	2674
2	143137581	148392098	0.958738	2	IMR5-R150	4679
2	148392098	153786990	0.989035	2	IMR5-R150	4804
2	153786990	158093695	0.944291	2	IMR5-R150	3835
2	158093695	162444197	0.991104	2	IMR5-R150	3874
2	162444197	165014744	0.916346	2	IMR5-R150	2289
2	165014744	168615082	0.953082	2	IMR5-R150	3206
2	168615082	179217325	1.00006	2	IMR5-R150	9441
2	179217325	192752844	0.966885	2	IMR5-R150	12053
2	192752844	196264465	0.938941	2	IMR5-R150	3127
2	196264465	209358645	0.988944	2	IMR5-R150	11660
2	209358645	216009051	0.949092	2	IMR5-R150	5922
2	216009051	225626423	1.00869	2	IMR5-R150	8564
2	225626423	230279012	0.952648	2	IMR5-R150	4143
2	230279012	236225297	1.00798	2	IMR5-R150	5295
2	236225297	238101830	0.914553	2	IMR5-R150	1671
2	238101830	242754419	0.996193	2	IMR5-R150	4143
2	242754419	243190143	0.84756	2	IMR5-R150	388
2	243190143	243200250	-1	2	IMR5-R150	9
20	1	59520	-1	2	IMR5-R150	53
20	59520	223478	0.909167	2	IMR5-R150	146
20	223478	1144338	0.986193	2	IMR5-R150	820
20	1144338	2009048	1.04869	2	IMR5-R150	770
20	2009048	2716538	0.946535	2	IMR5-R150	630
20	2716538	7051318	1.00251	2	IMR5-R150	3860
20	7051318	12089096	0.978715	2	IMR5-R150	4486
20	12089096	12201396	1.40404	3	IMR5-R150	100
20	12201396	17322276	0.970716	2	IMR5-R150	4560
20	17322276	18027520	1.03433	2	IMR5-R150	628
20	18027520	19965818	1.00042	2	IMR5-R150	1726
20	19965818	23134924	0.970449	2	IMR5-R150	2822
20	23134924	26257987	1.00463	2	IMR5-R150	2781
20	26257987	29514687	0.918963	2	IMR5-R150	2900
20	29514687	29829127	1.04753	2	IMR5-R150	280
20	29829127	29832496	1.58301	3	IMR5-R150	3
20	29832496	34222303	1.01462	2	IMR5-R150	3909
20	34222303	37091568	0.996808	2	IMR5-R150	2555
20	37091568	37092691	2.18705	4	IMR5-R150	1
20	37092691	37904620	1.02628	2	IMR5-R150	723
20	37904620	46250756	0.993073	2	IMR5-R150	7432
20	46250756	47553436	1.04426	2	IMR5-R150	1160
20	47553436	49474889	1.01213	2	IMR5-R150	1711
20	49474889	51598482	0.931881	2	IMR5-R150	1891
20	51598482	52189180	0.980076	2	IMR5-R150	526
20	52189180	52754049	1.03374	2	IMR5-R150	503
20	52754049	55249355	0.975533	2	IMR5-R150	2222
20	55249355	57778351	1.01477	2	IMR5-R150	2252
20	57778351	58924934	1.09618	2	IMR5-R150	1021
20	58924934	61091201	1.00912	2	IMR5-R150	1929
20	61091201	61092324	3.38019	7	IMR5-R150	1
20	61092324	61140613	-1	2	IMR5-R150	43
20	61140613	61890777	0.991789	2	IMR5-R150	668
20	61890777	62804899	0.932617	2	IMR5-R150	814
20	62804899	62965488	0.824927	2	IMR5-R150	143
20	62965488	63026130	-1	2	IMR5-R150	54
21	1	9410741	-1	2	IMR5-R150	8380
21	9410741	9773470	0.975907	2	IMR5-R150	323
21	9773470	9828497	-1	2	IMR5-R150	49
21	9828497	9902615	0.817229	2	IMR5-R150	66
21	9902615	9943043	1.01193	2	IMR5-R150	36
21	9943043	9944166	3.75576	8	IMR5-R150	1
21	9944166	9945289	1.87788	4	IMR5-R150	1
21	9945289	9986840	1.16347	2	IMR5-R150	37
21	9986840	9992455	1.81081	4	IMR5-R150	5
21	9992455	10013792	1.04728	2	IMR5-R150	19
21	10013792	10014915	2.50384	5	IMR5-R150	1
21	10014915	10124969	1.04227	2	IMR5-R150	98
21	10124969	10774063	0.945616	2	IMR5-R150	578
21	10774063	10866149	1.14525	2	IMR5-R150	82
21	10866149	11002032	0.983652	2	IMR5-R150	121
21	11002032	11016631	1.29365	3	IMR5-R150	13
21	11016631	15059431	0.963409	2	IMR5-R150	3600
21	15059431	15187453	1.04776	2	IMR5-R150	114
21	15187453	15193068	1.52317	3	IMR5-R150	5
21	15193068	16273394	1.02629	2	IMR5-R150	962
21	16273394	18344206	0.964525	2	IMR5-R150	1844
21	18344206	18345329	2.28535	5	IMR5-R150	1
21	18345329	19503142	1.00281	2	IMR5-R150	1031
21	19503142	21959143	0.968283	2	IMR5-R150	2187
21	21959143	21961389	2.12534	4	IMR5-R150	2
21	21961389	23406690	0.992595	2	IMR5-R150	1287
21	23406690	28067140	0.95527	2	IMR5-R150	4150
21	28067140	40040566	0.99483	2	IMR5-R150	10662
21	40040566	42845820	0.975334	2	IMR5-R150	2498
21	42845820	42846943	2.01202	4	IMR5-R150	1
21	42846943	43248977	0.999913	2	IMR5-R150	358
21	43248977	43250100	2.6127	5	IMR5-R150	1
